model_name,label,metric,estimate,positive_count,split,is_main_model
strong_signal_only,NORM,AUROC,0.9422309668251628,963,test,True
strong_signal_only,NORM,average_precision,0.9212336981984032,963,test,True
strong_signal_only,NORM,F1,0.8479445269935612,963,test,True
strong_signal_only,MI,AUROC,0.9201886584289496,550,test,True
strong_signal_only,MI,average_precision,0.8200770897858215,550,test,True
strong_signal_only,MI,F1,0.6876971608832808,550,test,True
strong_signal_only,STTC,AUROC,0.9303481562107638,521,test,True
strong_signal_only,STTC,average_precision,0.8079177097900356,521,test,True
strong_signal_only,STTC,F1,0.7436140018921475,521,test,True
strong_signal_only,CD,AUROC,0.9172510518934082,496,test,True
strong_signal_only,CD,average_precision,0.8258528961192184,496,test,True
strong_signal_only,CD,F1,0.7389969293756398,496,test,True
strong_signal_only,HYP,AUROC,0.8390539240426471,262,test,True
strong_signal_only,HYP,average_precision,0.485203122898051,262,test,True
strong_signal_only,HYP,F1,0.4808080808080808,262,test,True
signal_embedding_mlp,NORM,AUROC,0.9420926507498076,963,test,True
signal_embedding_mlp,NORM,average_precision,0.9209915444663166,963,test,True
signal_embedding_mlp,NORM,F1,0.8516510596352883,963,test,True
signal_embedding_mlp,MI,AUROC,0.922292586054722,550,test,True
signal_embedding_mlp,MI,average_precision,0.82221092805495,550,test,True
signal_embedding_mlp,MI,F1,0.7164179104477612,550,test,True
signal_embedding_mlp,STTC,AUROC,0.9293884633124914,521,test,True
signal_embedding_mlp,STTC,average_precision,0.8092750449292989,521,test,True
signal_embedding_mlp,STTC,F1,0.7418738049713193,521,test,True
signal_embedding_mlp,CD,AUROC,0.917478488305978,496,test,True
signal_embedding_mlp,CD,average_precision,0.8254064479691698,496,test,True
signal_embedding_mlp,CD,F1,0.7466937945066124,496,test,True
signal_embedding_mlp,HYP,AUROC,0.8359330641599899,262,test,True
signal_embedding_mlp,HYP,average_precision,0.483929294692034,262,test,True
signal_embedding_mlp,HYP,F1,0.4444444444444444,262,test,True
structured_mlp,NORM,AUROC,0.9347745111640832,963,test,True
structured_mlp,NORM,average_precision,0.905616956139192,963,test,True
structured_mlp,NORM,F1,0.8466019417475729,963,test,True
structured_mlp,MI,AUROC,0.877807811120918,550,test,True
structured_mlp,MI,average_precision,0.7375312961673126,550,test,True
structured_mlp,MI,F1,0.6446961894953656,550,test,True
structured_mlp,STTC,AUROC,0.9259176598372242,521,test,True
structured_mlp,STTC,average_precision,0.7858043392124285,521,test,True
structured_mlp,STTC,F1,0.7245206861755802,521,test,True
structured_mlp,CD,AUROC,0.896215552860013,496,test,True
structured_mlp,CD,average_precision,0.7811424864246719,496,test,True
structured_mlp,CD,F1,0.6902654867256637,496,test,True
structured_mlp,HYP,AUROC,0.8880768563497571,262,test,True
structured_mlp,HYP,average_precision,0.6156648132397331,262,test,True
structured_mlp,HYP,F1,0.54337899543379,262,test,True
fair_concat_mlp,NORM,AUROC,0.9464241721005124,963,test,True
fair_concat_mlp,NORM,average_precision,0.9272500897941626,963,test,True
fair_concat_mlp,NORM,F1,0.8578313253012049,963,test,True
fair_concat_mlp,MI,AUROC,0.92213812886143,550,test,True
fair_concat_mlp,MI,average_precision,0.8204995723462915,550,test,True
fair_concat_mlp,MI,F1,0.7125748502994012,550,test,True
fair_concat_mlp,STTC,AUROC,0.9291612730437888,521,test,True
fair_concat_mlp,STTC,average_precision,0.8057550187905106,521,test,True
fair_concat_mlp,STTC,F1,0.7428023032629558,521,test,True
fair_concat_mlp,CD,AUROC,0.9194294662825518,496,test,True
fair_concat_mlp,CD,average_precision,0.8311215432996775,496,test,True
fair_concat_mlp,CD,F1,0.7513227513227513,496,test,True
fair_concat_mlp,HYP,AUROC,0.8791006876537758,262,test,True
fair_concat_mlp,HYP,average_precision,0.5918197488989865,262,test,True
fair_concat_mlp,HYP,F1,0.5392781316348195,262,test,True
gated_fusion_mlp,NORM,AUROC,0.9469589382034044,963,test,True
gated_fusion_mlp,NORM,average_precision,0.9284686028977444,963,test,True
gated_fusion_mlp,NORM,F1,0.8572844400396432,963,test,True
gated_fusion_mlp,MI,AUROC,0.9228442188879084,550,test,True
gated_fusion_mlp,MI,average_precision,0.817548869984239,550,test,True
gated_fusion_mlp,MI,F1,0.7183908045977011,550,test,True
gated_fusion_mlp,STTC,AUROC,0.9305850750300154,521,test,True
gated_fusion_mlp,STTC,average_precision,0.8089912713464159,521,test,True
gated_fusion_mlp,STTC,F1,0.7454017424975798,521,test,True
gated_fusion_mlp,CD,AUROC,0.9184581232705356,496,test,True
gated_fusion_mlp,CD,average_precision,0.8339052819624642,496,test,True
gated_fusion_mlp,CD,F1,0.7561235356762513,496,test,True
gated_fusion_mlp,HYP,AUROC,0.8790021134313291,262,test,True
gated_fusion_mlp,HYP,average_precision,0.5999794031048115,262,test,True
gated_fusion_mlp,HYP,F1,0.5501165501165501,262,test,True
