model_name,split,calibration_mode,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed,probability_mode,uncertainty_score,coverage
strong_signal_only,test,raw,macro_brier,0.0910461313137758,0.0867211706097527,0.0960558914682338,1000,2026,,,
strong_signal_only,test,raw,macro_ece,0.0370043939492198,0.0344112007511938,0.0453503051554898,1000,2026,,,
strong_signal_only,test,temperature_scaled,macro_brier,0.0902657783630855,0.0859005630320808,0.0947308823174902,1000,2026,,,
strong_signal_only,test,temperature_scaled,macro_ece,0.0319842109463365,0.0302145078548875,0.0402404720955802,1000,2026,,,
structured_mlp,test,raw,macro_brier,0.0943921572026524,0.0901651880156616,0.0986462927105213,1000,2026,,,
structured_mlp,test,raw,macro_ece,0.0262580427645178,0.0254624957399499,0.035422585838068,1000,2026,,,
structured_mlp,test,temperature_scaled,macro_brier,0.0942079052680269,0.0899906278419684,0.0983395572243103,1000,2026,,,
structured_mlp,test,temperature_scaled,macro_ece,0.0212262025334467,0.0220738806127379,0.0312194176937041,1000,2026,,,
fair_concat_mlp,test,raw,macro_brier,0.0881121712022141,0.0831413996612554,0.0927190606175397,1000,2026,,,
fair_concat_mlp,test,raw,macro_ece,0.0422864122315276,0.0384879738750089,0.0499600997955024,1000,2026,,,
fair_concat_mlp,test,temperature_scaled,macro_brier,0.0863555013277471,0.0818464536637931,0.0908802610956084,1000,2026,,,
fair_concat_mlp,test,temperature_scaled,macro_ece,0.0282842652291674,0.0279685480478557,0.0370103630473013,1000,2026,,,
gated_fusion_mlp,test,raw,macro_brier,0.0857853472737688,0.0808298707129368,0.0903342758129393,1000,2026,,,
gated_fusion_mlp,test,raw,macro_ece,0.0355719483167691,0.0327462071569274,0.043534895042288,1000,2026,,,
gated_fusion_mlp,test,temperature_scaled,macro_brier,0.0844206012355246,0.079729066419459,0.0885713398500221,1000,2026,,,
gated_fusion_mlp,test,temperature_scaled,macro_ece,0.0192763995064153,0.0207191381586141,0.0288183295741381,1000,2026,,,
strong_signal_only,test,,retained_macro_auroc,0.9098145514801864,0.9017167667831164,0.917312920137186,1000,2026,temperature_scaled,entropy_macro,1.0
strong_signal_only,test,,retained_macro_f1,0.7102072525783615,0.693677647545188,0.7255797751697889,1000,2026,temperature_scaled,entropy_macro,1.0
strong_signal_only,test,,retained_brier,0.0902657783899369,0.0862379281606599,0.0949258792682645,1000,2026,temperature_scaled,entropy_macro,1.0
strong_signal_only,test,,retained_ece,0.0319842105400555,0.0305433403656292,0.040286237117876,1000,2026,temperature_scaled,entropy_macro,1.0
strong_signal_only,test,,retained_macro_auroc,0.9171731619561272,0.9086349555317272,0.9247313334317124,1000,2026,temperature_scaled,entropy_macro,0.9
