candidate_path,file_type,n_rows_if_readable,n_columns_if_readable,id_column_found,score,reason,candidate_type,excluded,exclude_reason
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/ptbxl_database.csv,csv,preview,4,ecg_id,340,preferred default path; path contains ptbxl/ptb-xl; contains required PTB-XL metadata columns; contains filename_hr; file size is plausible,,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/scp_statements.csv,csv,preview,13,,310,same directory as selected metadata; preferred default path; path contains ptbxl/ptb-xl; contains diagnostic_class; contains diagnostic flag,,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3,directory,20,,,20,column=filename_lr; found=20/20; missing_examples=,waveform_base,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3,directory,20,,,20,column=filename_hr; found=20/20; missing_examples=,waveform_base,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100,directory,20,,,0,column=filename_lr; found=0/20; missing_examples=/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records100/00000/00001_lr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records100/00000/00002_lr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records100/00000/00003_lr,waveform_base,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100,directory,20,,,0,column=filename_hr; found=0/20; missing_examples=/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records500/00000/00001_hr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records500/00000/00002_hr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records100/records500/00000/00003_hr,waveform_base,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500,directory,20,,,0,column=filename_lr; found=0/20; missing_examples=/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records100/00000/00001_lr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records100/00000/00002_lr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records100/00000/00003_lr,waveform_base,,
/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500,directory,20,,,0,column=filename_hr; found=0/20; missing_examples=/Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records500/00000/00001_hr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records500/00000/00002_hr; /Users/zy/Downloads/ptb-xl-a-large-publicly-available-electrocardiography-dataset-1.0.3/records500/records500/00000/00003_hr,waveform_base,,
/Users/zy/Documents/ecg/data/raw/ptbxl,directory,20,,,20,column=filename_lr; found=20/20; missing_examples=,waveform_base,,
/Users/zy/Documents/ecg/data/raw/ptbxl,directory,20,,,20,column=filename_hr; found=20/20; missing_examples=,waveform_base,,
