model_name,probability_mode,split,threshold,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed
strong_signal_only,temperature_scaled,test,0.1,macro_net_benefit,0.2131331513497119,0.20785486806187442,0.21855297745425134,1000,2026
strong_signal_only,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_all,0.04196744515215855,0.03946997270245679,0.04438428874734608,1000,2026
strong_signal_only,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_none,0.2131331513497119,0.20785486806187442,0.21855297745425134,1000,2026
strong_signal_only,temperature_scaled,test,0.2,macro_net_benefit,0.18771610555050044,0.18166287534121928,0.1934264103730664,1000,2026
strong_signal_only,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_all,0.12015468607825297,0.11619597361237485,0.12411624203821657,1000,2026
strong_signal_only,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_none,0.18771610555050044,0.18166287534121928,0.1934264103730664,1000,2026
strong_signal_only,temperature_scaled,test,0.3,macro_net_benefit,0.16730794228519433,0.1613788509034187,0.1737820096191343,1000,2026
strong_signal_only,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_all,0.2329520343169115,0.2269592486676199,0.23877551020408166,1000,2026
strong_signal_only,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_none,0.16730794228519433,0.1613788509034187,0.1737820096191343,1000,2026
strong_signal_only,temperature_scaled,test,0.4,macro_net_benefit,0.14771003942978464,0.14106536245071277,0.15480740066727328,1000,2026
strong_signal_only,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_all,0.3909614801334548,0.38291932059447986,0.3981809220503489,1000,2026
strong_signal_only,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_none,0.14771003942978464,0.14106536245071277,0.15480740066727328,1000,2026
fair_concat_mlp,temperature_scaled,test,0.1,macro_net_benefit,0.21460924072389037,0.20940223435446367,0.21994843797391567,1000,2026
fair_concat_mlp,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_all,0.04344353452633708,0.041046405823475886,0.046194520270953394,1000,2026
fair_concat_mlp,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_none,0.21460924072389037,0.20940223435446367,0.21994843797391567,1000,2026
fair_concat_mlp,temperature_scaled,test,0.2,macro_net_benefit,0.1908098271155596,0.18514444949954503,0.1963381483166515,1000,2026
fair_concat_mlp,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_all,0.1232484076433121,0.11883416742493175,0.12729811191992718,1000,2026
fair_concat_mlp,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_none,0.1908098271155596,0.18514444949954503,0.1963381483166515,1000,2026
fair_concat_mlp,temperature_scaled,test,0.3,macro_net_benefit,0.17240348368646824,0.166410373066424,0.1791368776810087,1000,2026
fair_concat_mlp,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_all,0.23804757571818538,0.23262543871051608,0.24361172494475497,1000,2026
fair_concat_mlp,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_none,0.17240348368646824,0.166410373066424,0.1791368776810087,1000,2026
fair_concat_mlp,temperature_scaled,test,0.4,macro_net_benefit,0.15359417652411284,0.1469206854716409,0.16099787685774944,1000,2026
fair_concat_mlp,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_all,0.3968456172277829,0.3896853199878678,0.40424704276615114,1000,2026
fair_concat_mlp,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_none,0.15359417652411284,0.1469206854716409,0.16099787685774944,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.1,macro_net_benefit,0.21478111414417148,0.20938049742189868,0.22022318269133556,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_all,0.04361540794661816,0.04122940046506927,0.04624481852188859,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.1,macro_net_benefit_vs_treat_none,0.21478111414417148,0.20938049742189868,0.22022318269133556,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.2,macro_net_benefit,0.19217470427661512,0.18655539126478618,0.19768312101910826,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_all,0.12461328480436765,0.12033496360327568,0.1286191992720655,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.2,macro_net_benefit_vs_treat_none,0.19217470427661512,0.18655539126478618,0.19768312101910826,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.3,macro_net_benefit,0.1739373456388925,0.16791856232939034,0.18071103600675942,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_all,0.23958143767060966,0.2338223059924607,0.2452622513973743,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.3,macro_net_benefit_vs_treat_none,0.1739373456388925,0.16791856232939034,0.18071103600675942,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.4,macro_net_benefit,0.15462541704579919,0.14761904761904762,0.1613307552320291,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_all,0.3978768577494693,0.3905368516833486,0.4048278738246891,1000,2026
gated_fusion_mlp,temperature_scaled,test,0.4,macro_net_benefit_vs_treat_none,0.15462541704579919,0.14761904761904762,0.1613307552320291,1000,2026
